,date,open,high,low,close,adj close,volume
0,2025-11-20,485.99,510.86,484.68,500.27,500.27,433189760
1,2025-11-19,523.06,523.1,471.31,486.01,486.01,412222154
2,2025-11-18,490.42,535.68,476.58,523.06,523.06,597668795
3,2025-11-17,483.67,514.26,482.1,490.42,490.42,378967181
4,2025-11-16,502.39,503.47,474.08,483.67,483.67,278777967
5,2025-11-15,479.81,516.98,479.76,502.39,502.39,355284220
6,2025-11-14,509.65,516.01,477.94,479.81,479.81,435619431
7,2025-11-13,507.1,530.52,494.75,509.65,509.65,543104748
8,2025-11-12,505.41,531.59,499.43,507.1,507.1,388130618
9,2025-11-11,517.17,530.57,504.67,505.41,505.41,480848970
10,2025-11-10,503.32,523.32,502.11,517.17,517.17,349519334
11,2025-11-09,495.84,505.03,489.37,503.32,503.32,289590084
12,2025-11-08,511.14,514.8,486.5,495.84,495.84,274523232
13,2025-11-07,472.37,519.99,472.37,511.14,511.14,809035614
14,2025-11-06,489.8,489.83,465.77,472.38,472.38,275627079
15,2025-11-05,481.15,493.83,462.56,489.81,489.81,303803109
16,2025-11-04,505.53,512.25,462.55,481.15,481.15,473763872
17,2025-11-03,537.26,537.26,502.53,505.53,505.53,468518058
18,2025-11-02,554.5,555.11,525.34,537.28,537.28,416673515
19,2025-11-01,536.18,559.83,532.11,554.5,554.5,408534892
20,2025-10-31,541.54,563.21,535.11,536.19,536.19,550029509
21,2025-10-30,556.6,574.06,528.72,541.54,541.54,609455219
22,2025-10-29,557.84,566.31,549.58,556.59,556.59,569007521
23,2025-10-28,555.94,570.37,551.46,557.84,557.84,784132942
24,2025-10-27,558.71,571.37,554.25,555.94,555.94,674062650
25,2025-10-26,508.51,563.82,508.38,558.7,558.7,689666603
26,2025-10-25,502.62,511.1,497.14,508.51,508.51,398125645
27,2025-10-24,480.94,506.59,479.17,502.62,502.62,403057486
28,2025-10-23,473.43,491.36,473.15,480.94,480.94,741446707
29,2025-10-22,481.76,484.54,464.25,473.43,473.43,355610006
30,2025-10-21,479.09,514.15,464.51,481.76,481.76,659711067
31,2025-10-20,472.87,486.33,467.79,479.08,479.08,415474887
32,2025-10-19,468.37,478.52,457.32,472.87,472.87,363322774
33,2025-10-18,469.95,479.31,463.84,468.37,468.37,318606442
34,2025-10-17,504.81,509.63,454.59,469.95,469.95,642250305
35,2025-10-16,522.3,528.96,501.99,504.81,504.81,381079860
36,2025-10-15,538.92,544.77,519.65,522.3,522.3,350007473
37,2025-10-14,546.72,547.0,509.25,538.92,538.92,733655484
38,2025-10-13,541.64,549.71,535.34,546.72,546.72,390044712
