,Date,Open,High,Low,Close,Adj Close,Volume
0,2025-11-20,895.74,911.23,894.79,911.02,911.02,3328567040
1,2025-11-18,906.47,937.38,888.51,932.48,932.48,3623344375
2,2025-11-17,927.26,936.99,893.0,906.48,906.48,3757441490
3,2025-11-16,932.19,948.51,910.9,927.26,927.26,2497118342
4,2025-11-15,915.19,944.08,915.19,932.2,932.2,1963778260
5,2025-11-14,928.04,932.65,889.4,915.31,915.31,3778463496
6,2025-11-13,953.02,969.85,907.62,928.05,928.05,3034452281
7,2025-11-12,958.23,976.96,940.86,953.01,953.01,2405972144
8,2025-11-11,991.92,1005.97,956.84,958.27,958.27,2696896367
9,2025-11-10,996.59,1017.68,977.11,991.92,991.92,2844075057
10,2025-11-09,990.23,1005.94,977.64,996.58,996.58,2642212274
11,2025-11-08,990.58,1005.86,981.11,990.22,990.22,2913804232
12,2025-11-07,949.21,994.41,927.11,990.55,990.55,3614944089
13,2025-11-06,959.95,964.33,927.45,949.18,949.18,2798073439
14,2025-11-05,937.88,966.8,903.87,959.95,959.95,3816276917
15,2025-11-04,992.55,1000.2,886.39,937.89,937.89,5824529918
16,2025-11-03,1084.34,1086.59,975.8,992.54,992.54,4849653054
17,2025-11-02,1094.64,1094.64,1073.65,1084.36,1084.36,2049912244
18,2025-11-01,1088.94,1097.14,1082.47,1094.64,1094.64,2138185589
19,2025-10-31,1078.61,1104.25,1073.45,1088.96,1088.96,4399392720
20,2025-10-30,1107.16,1123.7,1050.13,1078.61,1078.61,4153774666
21,2025-10-29,1103.15,1120.73,1089.77,1107.16,1107.16,4169218996
22,2025-10-28,1139.75,1148.56,1088.88,1103.14,1103.14,4178047763
23,2025-10-27,1137.59,1180.01,1134.29,1139.75,1139.75,4501355092
24,2025-10-26,1116.74,1141.96,1115.53,1137.59,1137.59,2746697366
25,2025-10-25,1109.15,1120.07,1102.5,1116.74,1116.74,2230311136
26,2025-10-24,1127.57,1141.64,1098.93,1109.15,1109.15,3451758493
27,2025-10-23,1072.05,1151.0,1071.94,1127.57,1127.57,5661131703
28,2025-10-22,1057.44,1082.93,1054.07,1072.05,1072.05,3625757780
29,2025-10-21,1101.16,1114.31,1054.3,1057.44,1057.44,4398689427
30,2025-10-20,1109.68,1142.74,1090.01,1101.06,1101.06,4209252745
31,2025-10-19,1093.15,1132.35,1069.31,1109.68,1109.68,3690436753
32,2025-10-18,1071.97,1129.19,1071.47,1093.15,1093.15,3767783165
33,2025-10-17,1145.82,1154.89,1024.08,1071.96,1071.96,6656427568
34,2025-10-16,1162.69,1193.77,1125.33,1145.83,1145.83,5605348340
35,2025-10-15,1211.05,1221.71,1151.84,1162.69,1162.69,5853929585
36,2025-10-14,1293.47,1316.41,1147.75,1211.05,1211.05,10106588255
37,2025-10-13,1303.15,1370.55,1257.11,1293.47,1293.47,11820387271
38,2025-10-12,1137.2,1319.77,1110.2,1303.12,1303.12,10201040572
39,2025-10-11,1106.9,1180.53,1080.72,1137.2,1137.2,8101403820
40,2025-10-10,1255.89,1276.36,962.47,1106.9,1106.9,10329526518
41,2025-10-09,1306.6,1318.06,1228.08,1255.89,1255.89,8172167891
42,2025-10-08,1310.23,1332.83,1270.31,1306.6,1306.6,7916662087
43,2025-10-07,1223.58,1336.57,1209.28,1310.21,1310.21,11163171147
44,2025-10-06,1165.53,1237.81,1164.02,1223.58,1223.58,5653272930
45,2025-10-05,1150.55,1186.85,1145.53,1165.53,1165.53,3611451465
46,2025-10-04,1189.93,1190.01,1138.27,1150.55,1150.55,3775482131
47,2025-10-03,1090.66,1190.35,1085.6,1189.92,1189.92,6097241167
48,2025-10-02,1026.17,1097.21,1023.98,1090.66,1090.66,3813163059
49,2025-10-01,1008.48,1034.83,1003.88,1026.17,1026.17,3100184262
50,2025-09-30,1030.74,1032.8,994.48,1008.48,1008.48,3076619211
51,2025-09-29,993.32,1035.73,992.64,1030.74,1030.74,3359320684
52,2025-09-28,968.79,993.39,964.29,993.32,993.32,2519459113
53,2025-09-27,960.92,983.93,957.4,968.79,968.79,2777184185
54,2025-09-26,945.71,964.73,933.51,960.92,960.92,3789703570
55,2025-09-25,1018.87,1019.84,943.32,945.71,945.71,4693762081
56,2025-09-24,1017.03,1034.05,995.29,1018.85,1018.85,3603925585
57,2025-09-23,993.01,1026.25,964.55,1017.02,1017.02,4038510425
58,2025-09-22,1048.67,1050.32,978.57,993.01,993.01,4892903256
59,2025-09-21,1042.66,1080.48,1041.03,1048.67,1048.67,4306431415
60,2025-09-20,984.13,1043.24,984.12,1042.65,1042.65,3759046572
