,date,open,high,low,close,adj close,volume
0,2025-11-20,0.154336,0.158039,0.153798,0.156913,0.156913,2316414720
1,2025-11-18,0.151892,0.162533,0.150102,0.161704,0.161704,2444487369
2,2025-11-17,0.158661,0.163945,0.150919,0.151892,0.151892,2792290270
3,2025-11-16,0.163137,0.165328,0.154417,0.158661,0.158661,1764383845
4,2025-11-15,0.157466,0.164293,0.157465,0.163137,0.163137,1245164553
5,2025-11-14,0.164296,0.165719,0.155417,0.157466,0.157466,3090051874
6,2025-11-13,0.170081,0.176795,0.160322,0.164296,0.164296,2729846444
7,2025-11-12,0.17202,0.178284,0.167481,0.170081,0.170081,1803938275
8,2025-11-11,0.181813,0.185346,0.17187,0.172025,0.172025,2107396312
9,2025-11-10,0.179259,0.185019,0.17766,0.181814,0.181814,2127003685
10,2025-11-09,0.176182,0.180964,0.171679,0.17926,0.17926,1608940509
11,2025-11-08,0.178674,0.183009,0.173312,0.176182,0.176182,2236137677
12,2025-11-07,0.161408,0.181384,0.160486,0.178673,0.178673,2931787387
13,2025-11-06,0.167379,0.16738,0.157731,0.161406,0.161406,1870692567
14,2025-11-05,0.162695,0.168463,0.155305,0.16738,0.16738,2522587575
15,2025-11-04,0.167242,0.170885,0.152496,0.162695,0.162695,4796083616
16,2025-11-03,0.186572,0.186578,0.163827,0.167243,0.167243,3648984899
17,2025-11-02,0.18728,0.188677,0.18248,0.186573,0.186573,967206772
18,2025-11-01,0.186432,0.188383,0.185299,0.187281,0.187281,849876271
19,2025-10-31,0.182713,0.187756,0.18251,0.186433,0.186433,1579798665
20,2025-10-30,0.192383,0.194489,0.176786,0.18271,0.18271,3112664146
21,2025-10-29,0.193755,0.19727,0.189077,0.19239,0.19239,2590886109
22,2025-10-28,0.200382,0.202907,0.19122,0.193757,0.193757,2809894306
23,2025-10-27,0.205668,0.209315,0.199803,0.200382,0.200382,1984421014
24,2025-10-26,0.19659,0.206411,0.194793,0.20567,0.20567,1679630618
25,2025-10-25,0.197698,0.199718,0.196252,0.196591,0.196591,1136645097
26,2025-10-24,0.194858,0.199683,0.194402,0.197698,0.197698,1546313970
27,2025-10-23,0.190002,0.197216,0.189832,0.194844,0.194844,1769172845
28,2025-10-22,0.194386,0.195314,0.186501,0.190002,0.190002,2573427089
29,2025-10-21,0.200156,0.205435,0.192332,0.194389,0.194389,2783675973
30,2025-10-20,0.195324,0.202447,0.191941,0.200114,0.200114,2148033213
31,2025-10-19,0.189599,0.198535,0.186295,0.195323,0.195323,1982258702
32,2025-10-18,0.18485,0.190223,0.184532,0.189599,0.189599,1238849111
33,2025-10-17,0.188366,0.190797,0.176211,0.184842,0.184842,3317944601
34,2025-10-16,0.196328,0.201235,0.185209,0.188367,0.188367,3498982322
35,2025-10-15,0.204532,0.207973,0.195098,0.196327,0.196327,2877365449
36,2025-10-14,0.213991,0.215544,0.195104,0.204532,0.204532,4841725506
37,2025-10-13,0.207795,0.21827,0.204746,0.213991,0.213991,4745994514
38,2025-10-12,0.185441,0.214049,0.181756,0.207795,0.207795,5183180935
39,2025-10-11,0.193155,0.200234,0.179012,0.185443,0.185443,6948749972
40,2025-10-10,0.248563,0.253624,0.114784,0.193155,0.193155,8989277920
41,2025-10-09,0.255562,0.255709,0.241941,0.248563,0.248563,3221293489
42,2025-10-08,0.247316,0.260931,0.244136,0.255563,0.255563,3136056857
43,2025-10-07,0.266312,0.267863,0.247257,0.247316,0.247316,4263519773
44,2025-10-06,0.252954,0.270047,0.251322,0.266313,0.266313,3938750191
45,2025-10-05,0.250915,0.264665,0.249815,0.252954,0.252954,3422890843
46,2025-10-04,0.258604,0.259405,0.247337,0.250917,0.250917,2121406683
47,2025-10-03,0.26194,0.264969,0.253547,0.258603,0.258603,3285893533
48,2025-10-02,0.248372,0.263415,0.247055,0.261937,0.261937,3466616007
49,2025-10-01,0.232905,0.248365,0.230833,0.248365,0.248365,2935493861
50,2025-09-30,0.235067,0.235651,0.226797,0.232905,0.232905,2112968133
51,2025-09-29,0.237389,0.238685,0.22917,0.235057,0.235057,2451434578
52,2025-09-28,0.230838,0.237472,0.225417,0.237388,0.237388,1629383714
53,2025-09-27,0.232629,0.234215,0.228247,0.230836,0.230836,1404236029
54,2025-09-26,0.222714,0.233288,0.222036,0.232629,0.232629,3136341383
55,2025-09-25,0.241245,0.241934,0.22157,0.222706,0.222706,4513449818
56,2025-09-24,0.237386,0.250155,0.232086,0.241244,0.241244,3426936081
57,2025-09-23,0.241315,0.243401,0.234702,0.237388,0.237388,2979805692
58,2025-09-22,0.26116,0.262041,0.235858,0.241316,0.241316,5600811076
59,2025-09-21,0.267749,0.269684,0.26083,0.261159,0.261159,1759685373
60,2025-09-20,0.265388,0.269145,0.263566,0.267749,0.267749,1791655632
61,2025-09-19,0.27878,0.284022,0.263711,0.265387,0.265387,3402582767
62,2025-09-18,0.282449,0.287902,0.276461,0.278779,0.278779,4420244724
63,2025-09-17,0.269771,0.283566,0.262246,0.282464,0.282464,4837069879
64,2025-09-16,0.268629,0.271562,0.258969,0.269771,0.269771,4384096063
65,2025-09-15,0.278587,0.281681,0.259829,0.26863,0.26863,5721394577
66,2025-09-14,0.289463,0.294212,0.273188,0.27859,0.27859,5708225877
