,date,open,high,low,close,adj close,volume
0,2025-11-20,38.66,39.69,38.41,39.16,39.16,423055200
1,2025-11-19,38.69,39.05,37.24,38.68,38.68,428874061
2,2025-11-18,38.93,41.49,38.33,38.69,38.69,650072866
3,2025-11-17,38.6,39.16,37.15,38.93,38.93,410458655
4,2025-11-16,38.6,40.39,37.58,38.6,38.6,363194581
5,2025-11-15,37.36,39.39,37.34,38.6,38.6,240828724
6,2025-11-14,38.76,38.76,36.16,37.36,37.36,548659514
7,2025-11-13,38.31,39.8,36.74,38.76,38.76,431083214
8,2025-11-12,38.7,40.71,37.64,38.31,38.31,432936106
9,2025-11-11,41.6,41.9,38.65,38.7,38.7,439661495
10,2025-11-10,41.73,43.11,40.89,41.6,41.6,402495143
11,2025-11-09,40.12,42.69,39.38,41.73,41.73,341227466
12,2025-11-08,42.28,43.09,39.74,40.12,40.12,411847090
13,2025-11-07,38.59,43.24,38.12,42.28,42.28,663462383
14,2025-11-06,41.36,41.36,37.75,38.59,38.59,531554722
15,2025-11-05,39.11,42.12,37.69,41.36,41.36,653219823
16,2025-11-04,40.16,40.68,35.82,39.11,39.11,1102891167
17,2025-11-03,42.52,42.65,38.87,40.16,40.16,760379500
18,2025-11-02,43.23,43.38,41.21,42.52,42.52,390114559
19,2025-11-01,43.61,44.39,42.83,43.23,43.23,386877249
20,2025-10-31,45.54,46.18,42.52,43.61,43.61,654835794
21,2025-10-30,48.03,49.95,42.8,45.54,45.54,1028319722
22,2025-10-29,47.8,49.72,46.46,48.03,48.03,739211514
23,2025-10-28,46.55,49.3,46.12,47.8,47.8,647523008
24,2025-10-27,47.31,49.21,45.91,46.55,46.55,604585218
25,2025-10-26,44.21,48.45,43.58,47.31,47.31,593435639
26,2025-10-25,39.34,44.59,38.94,44.21,44.21,362809436
27,2025-10-24,40.2,40.82,38.83,39.34,39.34,331841324
28,2025-10-23,36.26,40.67,36.25,40.2,40.2,687417691
29,2025-10-22,35.39,36.72,34.51,36.26,36.26,608114819
30,2025-10-21,37.93,38.29,35.24,35.39,35.39,586014220
31,2025-10-20,37.42,39.55,36.81,37.92,37.92,418840963
