,date,open,high,low,close,adj close,volume
0,2025-11-20,13.52,13.67,13.48,13.62,13.62,797991680
1,2025-11-18,13.31,13.96,13.12,13.79,13.79,825409520
2,2025-11-17,13.74,14.18,13.1,13.31,13.31,865194247
3,2025-11-16,14.12,14.47,13.45,13.74,13.74,790466339
4,2025-11-15,13.8,14.31,13.8,14.12,14.12,487126006
5,2025-11-14,14.58,14.59,13.65,13.8,13.8,1100900775
6,2025-11-13,15.14,15.98,14.17,14.58,14.58,1003151749
7,2025-11-12,15.3,16.21,14.97,15.14,15.14,810797365
8,2025-11-11,16.34,16.72,15.28,15.3,15.3,760231060
9,2025-11-10,15.93,16.63,15.86,16.34,16.34,841203343
10,2025-11-09,15.52,16.1,15.06,15.93,15.93,633488337
11,2025-11-08,15.77,16.0,15.15,15.52,15.52,752557415
12,2025-11-07,14.72,16.2,14.37,15.77,15.77,1052439693
13,2025-11-06,15.15,15.19,14.32,14.72,14.72,733660296
14,2025-11-05,14.72,15.38,14.04,15.15,15.15,965152397
15,2025-11-04,15.24,15.47,13.87,14.72,14.72,1622564462
16,2025-11-03,17.6,17.63,15.05,15.24,15.24,1383418830
17,2025-11-02,17.12,17.6,17.01,17.6,17.6,524183843
18,2025-11-01,17.24,17.4,17.08,17.12,17.12,438785349
19,2025-10-31,16.81,17.42,16.78,17.24,17.24,805192726
20,2025-10-30,18.11,18.4,16.39,16.8,16.8,1180005684
21,2025-10-29,17.84,18.62,17.69,18.11,18.11,995502586
22,2025-10-28,18.22,18.79,17.56,17.84,17.84,869022092
23,2025-10-27,18.54,19.02,18.14,18.22,18.22,877560888
24,2025-10-26,18.02,18.66,17.71,18.54,18.54,681105114
25,2025-10-25,17.88,18.22,17.81,18.02,18.02,355900758
26,2025-10-24,17.42,17.98,17.32,17.88,17.88,666571200
27,2025-10-23,17.21,17.76,17.14,17.42,17.42,699180129
28,2025-10-22,17.63,17.84,16.87,17.21,17.21,945434490
29,2025-10-21,18.66,18.94,17.58,17.63,17.63,1329358652
30,2025-10-20,17.28,19.17,16.96,18.66,18.66,1317301407
31,2025-10-19,16.82,17.66,16.55,17.28,17.28,685360938
32,2025-10-18,16.61,16.97,16.59,16.82,16.82,444690571
33,2025-10-17,17.41,17.67,15.77,16.61,16.61,1310104291
34,2025-10-16,18.06,18.57,17.14,17.41,17.41,963114595
35,2025-10-15,19.11,19.24,17.84,18.06,18.06,946169365
36,2025-10-14,19.86,20.04,18.16,19.11,19.11,1375105192
37,2025-10-13,19.05,20.19,18.81,19.86,19.86,1422251197
38,2025-10-12,17.21,19.39,16.77,19.05,19.05,1278894619
39,2025-10-11,17.34,18.48,16.68,17.21,17.21,1988393359
40,2025-10-10,22.01,22.75,10.18,17.35,17.35,3361821002
41,2025-10-09,22.62,22.65,21.38,22.01,22.01,880368741
42,2025-10-08,21.86,22.65,21.73,22.62,22.62,784523519
43,2025-10-07,23.37,23.67,21.85,21.86,21.86,1315570468
44,2025-10-06,22.0,23.58,21.55,23.37,23.37,1194602384
45,2025-10-05,22.03,22.91,21.93,22.0,22.0,863779461
46,2025-10-04,22.52,22.6,21.8,22.03,22.03,628716750
47,2025-10-03,22.77,23.06,22.14,22.52,22.52,965222469
48,2025-10-02,22.58,23.11,22.0,22.77,22.77,948735220
49,2025-10-01,21.33,22.63,21.08,22.58,22.58,844755025
50,2025-09-30,21.75,21.84,21.02,21.33,21.33,723246420
51,2025-09-29,21.68,21.89,20.97,21.75,21.75,667529543
52,2025-09-28,20.93,21.69,20.47,21.68,21.68,446906327
53,2025-09-27,21.09,21.15,20.76,20.93,20.93,324665391
54,2025-09-26,20.11,21.22,19.97,21.09,21.09,848191807
55,2025-09-25,21.62,21.66,19.91,20.11,20.11,1222682522
56,2025-09-24,21.54,21.96,21.12,21.62,21.62,811744874
57,2025-09-23,21.66,21.99,21.22,21.54,21.54,776247349
58,2025-09-22,23.0,23.03,20.84,21.66,21.66,1496100656
59,2025-09-21,23.34,23.49,22.94,23.0,23.0,435051103
60,2025-09-20,23.5,23.65,23.13,23.34,23.34,501304427
61,2025-09-19,24.64,24.85,23.34,23.5,23.5,1066877361
62,2025-09-18,23.99,24.73,23.71,24.64,24.64,959274372
63,2025-09-17,23.49,24.23,22.83,23.99,23.99,1170212603
64,2025-09-16,23.58,23.74,23.16,23.49,23.49,682554445
65,2025-09-15,24.13,24.43,23.02,23.58,23.58,900825492
66,2025-09-14,24.88,25.0,23.89,24.13,24.13,703294515
67,2025-09-13,25.14,25.58,24.5,24.88,24.88,1014268343
68,2025-09-12,24.47,25.29,24.22,25.14,25.14,1143932659
69,2025-09-11,23.56,24.49,23.47,24.47,24.47,1052199907
70,2025-09-10,23.06,23.89,22.91,23.56,23.56,813995265
71,2025-09-09,23.05,23.79,22.86,23.06,23.06,1063479411
72,2025-09-08,22.47,23.27,22.27,23.05,23.05,955077831
73,2025-09-07,22.21,22.57,22.14,22.47,22.47,482577447
74,2025-09-06,22.29,22.49,21.9,22.21,22.21,556781221
75,2025-09-05,22.35,23.18,22.06,22.29,22.29,1326920043
76,2025-09-04,23.69,23.94,22.22,22.35,22.35,906230758
77,2025-09-03,23.48,23.89,23.23,23.69,23.69,831944457
78,2025-09-02,22.48,23.57,22.37,23.48,23.48,1191125537
79,2025-09-01,23.22,23.82,22.18,22.48,22.48,1336339788
80,2025-08-31,23.5,24.01,23.22,23.22,23.22,886417775
