,date,open,high,low,close,adj close,volume
0,2025-11-20,136.78,144.1,136.43,143.12,143.12,6714511360
1,2025-11-18,130.85,141.83,129.31,140.71,140.71,7400753648
2,2025-11-17,137.27,142.47,129.02,130.85,130.85,7330608944
3,2025-11-16,139.53,143.16,134.97,137.27,137.27,4722106857
4,2025-11-15,138.68,143.59,138.68,139.54,139.54,3449336899
5,2025-11-14,145.11,145.47,136.04,138.68,138.68,8170562276
6,2025-11-13,153.26,156.99,141.4,145.11,145.11,7354986019
7,2025-11-12,154.56,161.01,151.47,153.26,153.26,5979682267
8,2025-11-11,167.37,171.61,154.26,154.57,154.57,6202061657
9,2025-11-10,164.45,170.16,163.86,167.37,167.37,5424364139
10,2025-11-09,158.1,166.23,155.38,164.45,164.45,4538025398
11,2025-11-08,161.71,164.71,156.09,158.1,158.1,3777278818
12,2025-11-07,155.07,164.09,150.44,161.71,161.71,6565811742
13,2025-11-06,162.56,162.78,153.79,155.07,155.07,5543550041
14,2025-11-05,155.4,163.66,147.89,162.57,162.57,7278004532
15,2025-11-04,166.1,168.2,146.75,155.4,155.4,11720472283
16,2025-11-03,187.83,188.74,163.55,166.09,166.09,10083921329
17,2025-11-02,186.38,188.14,182.83,187.83,187.83,3213989849
18,2025-11-01,187.21,187.35,184.06,186.38,186.38,2742470897
19,2025-10-31,184.63,189.85,184.02,187.21,187.21,5699604751
20,2025-10-30,194.4,198.04,179.22,184.62,184.62,8688393422
21,2025-10-29,194.43,201.68,190.61,194.41,194.41,8057327834
22,2025-10-28,198.74,203.83,191.39,194.44,194.44,8093133805
23,2025-10-27,200.03,205.02,197.6,198.74,198.74,6714497027
24,2025-10-26,194.04,200.62,192.16,200.03,200.03,4753310567
25,2025-10-25,193.56,195.08,191.6,194.04,194.04,3170047006
26,2025-10-24,191.39,195.31,189.11,193.56,193.56,5855077941
27,2025-10-23,180.15,193.18,179.8,191.39,191.39,6358339771
28,2025-10-22,185.67,187.33,177.67,180.15,180.15,7337365275
29,2025-10-21,189.76,197.37,183.31,185.67,185.67,8186574439
30,2025-10-20,187.8,194.34,184.05,189.75,189.75,6103945646
31,2025-10-19,187.66,192.2,183.46,187.8,187.8,4863227045
32,2025-10-18,182.04,188.27,182.02,187.66,187.66,4108902789
33,2025-10-17,184.69,187.43,174.74,182.03,182.03,10401735741
34,2025-10-16,194.02,197.96,182.25,184.69,184.69,10042886154
35,2025-10-15,202.46,208.33,192.7,194.02,194.02,9867608882
36,2025-10-14,208.36,211.11,191.67,202.46,202.46,13600198608
37,2025-10-13,197.51,209.25,191.94,208.37,208.37,11469454798
38,2025-10-12,178.06,198.87,173.52,197.51,197.51,11797041281
39,2025-10-11,188.64,190.88,173.75,178.05,178.05,12850012618
40,2025-10-10,220.99,224.25,174.07,188.66,188.66,16784427014
41,2025-10-09,229.1,229.32,217.2,220.99,220.99,7901186012
42,2025-10-08,220.49,229.56,218.18,229.1,229.1,7198664384
43,2025-10-07,232.51,235.09,220.45,220.48,220.48,9339230314
44,2025-10-06,228.6,237.32,228.0,232.52,232.52,7521265450
45,2025-10-05,228.0,236.78,226.9,228.6,228.6,7132874650
46,2025-10-04,233.0,233.9,224.47,228.0,228.0,4553115834
47,2025-10-03,234.85,236.79,227.68,233.0,233.0,9289248668
48,2025-10-02,221.69,234.86,219.86,234.86,234.86,9665302715
49,2025-10-01,208.74,221.68,206.62,221.68,221.68,8264703260
50,2025-09-30,213.04,213.51,204.57,208.74,208.74,6873718512
51,2025-09-29,210.74,214.69,205.13,213.05,213.05,6886600486
52,2025-09-28,203.58,210.9,198.32,210.74,210.74,4467879569
53,2025-09-27,205.35,205.4,200.27,203.58,203.58,4016294139
54,2025-09-26,192.4,205.42,191.13,205.35,205.35,10334548744
55,2025-09-25,211.75,212.4,192.08,192.38,192.38,12314273479
56,2025-09-24,213.71,216.38,206.04,211.76,211.76,8377116522
57,2025-09-23,220.5,221.35,212.8,213.72,213.72,7373425460
58,2025-09-22,236.57,236.87,216.92,220.5,220.5,12102727916
59,2025-09-21,239.59,241.81,235.72,236.58,236.58,3513052984
60,2025-09-20,238.55,241.0,237.18,239.59,239.59,3518711912
61,2025-09-19,247.64,248.51,235.87,238.55,238.55,7513642552
62,2025-09-18,244.85,253.21,242.91,247.64,247.64,9258651570
63,2025-09-17,236.98,246.46,232.77,244.86,244.86,10420751509
64,2025-09-16,234.36,240.68,231.87,236.99,236.99,7521208086
65,2025-09-15,240.55,244.0,230.48,234.36,234.36,10017744936
66,2025-09-14,242.6,249.12,240.21,240.56,240.56,9358190854
67,2025-09-13,242.3,244.14,236.47,242.6,242.6,7478581447
68,2025-09-12,228.76,243.79,228.26,242.3,242.3,13008621197
69,2025-09-11,223.99,228.91,222.03,228.76,228.76,9580815361
70,2025-09-10,217.25,225.51,215.27,223.99,223.99,9070263027
71,2025-09-09,214.19,219.52,211.16,217.25,217.25,8798692220
72,2025-09-08,206.46,216.9,205.72,214.19,214.19,10019366594
73,2025-09-07,200.25,207.87,200.23,206.47,206.47,4153166545
74,2025-09-06,203.5,204.56,199.64,200.25,200.25,3057210360
75,2025-09-05,202.55,209.86,201.18,203.5,203.5,7780086538
76,2025-09-04,210.75,211.8,202.13,202.56,202.56,5241887525
77,2025-09-03,209.48,212.82,207.58,210.75,210.75,6966454259
78,2025-09-02,197.11,209.48,197.09,209.48,209.48,8625200488
79,2025-09-01,200.86,204.22,194.38,197.11,197.11,7253329838
80,2025-08-31,202.86,206.51,200.66,200.86,200.86,5028997406
81,2025-08-30,205.21,206.8,197.89,202.86,202.86,5828701739
82,2025-08-29,214.4,217.84,200.44,205.22,205.22,14055051455
83,2025-08-28,202.93,216.09,202.01,214.41,214.41,12079041801
84,2025-08-27,195.91,211.86,194.06,202.92,202.92,12883119559
85,2025-08-26,187.27,197.85,186.17,195.91,195.91,8032115173
86,2025-08-25,205.86,213.01,186.03,187.28,187.28,13048248034
87,2025-08-24,203.94,211.76,201.71,205.85,205.85,11456987571
88,2025-08-23,200.65,207.84,195.37,203.94,203.94,7845395369
89,2025-08-22,180.28,201.94,177.47,200.65,200.65,10256417346
90,2025-08-21,187.59,189.4,179.71,180.28,180.28,5379108039
91,2025-08-20,176.11,187.69,176.1,187.59,187.59,6283111574
92,2025-08-19,183.07,185.78,175.99,176.11,176.11,5990636025
93,2025-08-18,191.16,191.35,180.41,183.07,183.07,6328028844
