,date,open,high,low,close,adj close,volume
0,2025-11-20,3018.26,3044.48,3006.35,3019.91,3019.91,27550840
1,2025-11-18,3020.18,3164.32,2961.37,3118.49,3118.49,27972570
2,2025-11-17,3089.4,3214.94,2961.37,3020.29,3020.29,45383068
3,2025-11-16,3166.22,3241.95,3029.97,3089.56,3089.56,29993297
4,2025-11-15,3100.01,3224.65,3099.88,3166.22,3166.22,22393551
5,2025-11-14,3237.77,3246.79,3078.9,3099.97,3099.97,54359446
6,2025-11-13,3407.43,3554.16,3158.47,3237.76,3237.76,73569425
7,2025-11-12,3415.79,3580.01,3372.75,3407.43,3407.43,50618869
8,2025-11-11,3565.74,3629.28,3404.97,3415.79,3415.79,44215966
9,2025-11-10,3576.88,3645.67,3512.28,3566.07,3566.07,32212485
10,2025-11-09,3397.33,3608.07,3357.24,3576.88,3576.88,31707684
11,2025-11-08,3430.57,3468.99,3358.2,3397.33,3397.33,29189496
12,2025-11-07,3306.16,3466.53,3199.27,3430.56,3430.56,54165682
13,2025-11-06,3423.48,3449.32,3250.74,3306.13,3306.13,52452580
14,2025-11-05,3286.01,3472.56,3168.18,3423.48,3423.48,61325380
15,2025-11-04,3603.64,3647.08,3085.5,3286.01,3286.01,82562705
16,2025-11-03,3911.78,3913.05,3563.66,3603.64,3603.64,51666021
17,2025-11-02,3871.61,3913.43,3842.18,3911.78,3911.78,15677300
18,2025-11-01,3847.11,3900.28,3834.64,3871.61,3871.61,13170959
19,2025-10-31,3803.18,3896.23,3799.56,3847.11,3847.11,39446669
20,2025-10-30,3899.6,3945.14,3689.47,3803.05,3803.05,61640415
21,2025-10-29,3982.02,4033.99,3867.46,3899.6,3899.6,63684778
22,2025-10-28,4121.07,4173.24,3951.07,3982.15,3982.15,47687726
23,2025-10-27,4159.73,4243.39,4105.87,4121.07,4121.07,55493132
24,2025-10-26,3953.91,4171.72,3925.51,4159.73,4159.73,28971820
25,2025-10-25,3933.27,3963.48,3916.47,3953.91,3953.91,19068562
26,2025-10-24,3857.28,3992.17,3852.11,3933.27,3933.27,43640266
27,2025-10-23,3798.15,3921.92,3798.15,3857.28,3857.28,67375103
28,2025-10-22,3882.01,3890.6,3727.81,3798.27,3798.27,89690523
29,2025-10-21,3978.43,4103.41,3847.57,3881.9,3881.9,93604981
30,2025-10-20,3978.46,4078.81,3911.67,3978.49,3978.49,52078516
31,2025-10-19,3886.2,4024.66,3849.63,3978.46,3978.46,36882661
32,2025-10-18,3829.77,3910.04,3822.6,3886.2,3886.2,26347786
33,2025-10-17,3887.35,3935.07,3684.28,3829.77,3829.77,85695155
34,2025-10-16,3983.19,4066.89,3835.96,3887.35,3887.35,78175888
35,2025-10-15,4125.48,4200.89,3941.53,3983.19,3983.19,68943115
36,2025-10-14,4244.81,4261.14,3897.81,4125.45,4125.45,95109075
37,2025-10-13,4156.67,4287.32,4071.04,4244.81,4244.81,78190895
38,2025-10-12,3746.79,4183.33,3702.82,4156.66,4156.66,101903564
39,2025-10-11,3845.24,3875.23,3659.95,3746.8,3746.8,60056106
40,2025-10-10,4368.12,4392.32,3420.82,3845.24,3845.24,129822481
41,2025-10-09,4527.63,4527.64,4284.19,4368.12,4368.12,47765722
42,2025-10-08,4449.21,4538.6,4426.2,4527.65,4527.65,42568951
43,2025-10-07,4687.06,4748.32,4448.98,4448.98,4448.98,63340075
44,2025-10-06,4513.15,4722.33,4497.3,4687.06,4687.06,42084587
45,2025-10-05,4485.74,4605.6,4470.38,4513.15,4513.15,27652922
46,2025-10-04,4514.64,4514.97,4443.94,4485.75,4485.75,13011705
47,2025-10-03,4479.77,4574.9,4433.63,4514.73,4514.73,45780760
48,2025-10-02,4339.61,4508.85,4336.63,4479.77,4479.77,38549886
49,2025-10-01,4141.19,4339.48,4124.59,4339.11,4339.11,40702890
50,2025-09-30,4218.11,4225.38,4095.19,4141.19,4141.19,25028612
51,2025-09-29,4138.22,4229.68,4094.9,4218.11,4218.11,31683358
52,2025-09-28,4018.97,4139.27,3978.19,4138.22,4138.22,21767458
53,2025-09-27,4029.66,4029.66,3976.61,4018.97,4018.97,22253084
54,2025-09-26,3862.52,4059.69,3862.52,4029.68,4029.68,64935179
55,2025-09-25,4149.24,4152.59,3827.21,3862.44,3862.44,85306393
56,2025-09-24,4164.06,4199.44,4099.43,4149.21,4149.21,52225093
57,2025-09-23,4198.53,4218.04,4130.18,4164.13,4164.13,31366130
58,2025-09-22,4448.9,4449.46,4135.94,4198.49,4198.49,64468676
59,2025-09-21,4477.4,4491.69,4443.45,4448.9,4448.9,23475443
60,2025-09-20,4464.82,4502.06,4455.26,4477.4,4477.4,25494440
61,2025-09-19,4588.48,4612.13,4441.82,4464.83,4464.83,29718697
62,2025-09-18,4587.33,4625.79,4553.37,4588.44,4588.44,29217979
63,2025-09-17,4501.65,4609.49,4433.3,4587.33,4587.33,65671343
64,2025-09-16,4520.46,4529.63,4428.66,4501.65,4501.65,23776180
65,2025-09-15,4615.06,4663.8,4471.29,4520.46,4520.46,128793214
66,2025-09-14,4654.85,4675.77,4575.69,4615.09,4615.09,25035365
67,2025-09-13,4699.14,4750.06,4605.18,4654.84,4654.84,57089713
68,2025-09-12,4455.15,4708.86,4449.39,4699.19,4699.19,48934750
69,2025-09-11,4339.09,4460.23,4334.56,4455.15,4455.15,63307556
70,2025-09-10,4305.0,4434.45,4280.64,4339.09,4339.09,72227798
71,2025-09-09,4300.54,4369.65,4275.33,4304.94,4304.94,73223625
72,2025-09-08,4310.25,4371.66,4280.33,4300.71,4300.71,52161142
73,2025-09-07,4273.08,4315.37,4270.25,4309.98,4309.98,28521576
74,2025-09-06,4297.48,4317.48,4247.94,4273.08,4273.08,52291046
75,2025-09-05,4300.85,4462.0,4259.36,4297.46,4297.46,70303490
76,2025-09-04,4446.04,4465.44,4265.78,4300.89,4300.89,70919998
77,2025-09-03,4315.28,4473.62,4278.14,4446.05,4446.05,39677564
78,2025-09-02,4298.54,4405.6,4255.76,4315.27,4315.27,40604567
79,2025-09-01,4378.09,4475.52,4233.2,4298.48,4298.48,45211875
80,2025-08-31,4361.46,4478.84,4361.02,4378.07,4378.07,33675487
81,2025-08-30,4351.34,4394.81,4262.87,4361.48,4361.48,21532163
82,2025-08-29,4495.4,4498.0,4274.51,4351.37,4351.37,50043168
83,2025-08-28,4499.71,4615.93,4438.01,4495.4,4495.4,36402817
84,2025-08-27,4592.47,4643.47,4494.75,4499.63,4499.63,87000909
85,2025-08-26,4370.64,4597.29,4324.77,4592.47,4592.47,110955634
86,2025-08-25,4774.77,4784.57,4337.36,4370.86,4370.86,58313359
87,2025-08-24,4761.59,4939.7,4713.49,4774.68,4774.68,67967114
88,2025-08-23,4815.05,4815.05,4662.28,4761.59,4761.59,50673750
89,2025-08-22,4208.24,4861.48,4201.69,4815.05,4815.05,118739613
90,2025-08-21,4324.06,4325.67,4202.23,4208.24,4208.24,30280293
91,2025-08-20,4063.01,4355.46,4063.01,4324.06,4324.06,44257609
92,2025-08-19,4307.19,4335.13,4062.75,4062.9,4062.9,66190572
93,2025-08-18,4474.14,4477.13,4228.95,4307.25,4307.25,96840868
94,2025-08-17,4416.23,4560.79,4393.79,4474.14,4474.14,54624177
95,2025-08-16,4426.14,4478.04,4373.6,4416.23,4416.23,64943455
96,2025-08-15,4548.47,4648.73,4370.48,4425.99,4425.99,68364404
97,2025-08-14,4757.73,4772.14,4452.75,4548.44,4548.44,170230634
98,2025-08-13,4581.64,4764.11,4562.9,4757.77,4757.77,205587720
99,2025-08-12,4223.89,4613.62,4223.01,4581.65,4581.65,165355926
100,2025-08-11,4245.06,4347.52,4165.74,4223.89,4223.89,139943521
101,2025-08-10,4259.18,4317.17,4159.19,4245.06,4245.06,60556115
102,2025-08-09,4007.22,4305.35,4004.18,4259.18,4259.18,150283571
103,2025-08-08,3898.08,4055.35,3882.08,4007.38,4007.38,154881593
104,2025-08-07,3674.53,3913.45,3648.55,3898.08,3898.08,103446583
105,2025-08-06,3607.17,3689.12,3568.32,3674.53,3674.53,25696931
106,2025-08-05,3709.05,3709.52,3555.57,3607.17,3607.17,43911337
107,2025-08-04,3500.98,3727.19,3489.24,3709.05,3709.05,62995689
108,2025-08-03,3398.63,3512.96,3357.19,3500.98,3500.98,48546426
109,2025-08-02,3482.4,3525.64,3372.09,3398.64,3398.64,29698937
110,2025-08-01,3693.86,3714.25,3447.74,3482.39,3482.39,113306995
111,2025-07-31,3797.89,3868.5,3684.35,3693.86,3693.86,46640783
112,2025-07-30,3785.27,3821.56,3688.08,3797.89,3797.89,94223119
113,2025-07-29,3784.38,3876.17,3725.93,3785.25,3785.25,83963596
114,2025-07-28,3867.65,3933.04,3755.4,3784.24,3784.24,80361314
115,2025-07-27,3738.18,3869.65,3736.84,3867.65,3867.65,58916056
116,2025-07-26,3720.1,3772.65,3701.44,3738.18,3738.18,44510297
117,2025-07-25,3697.71,3735.09,3512.0,3720.1,3720.1,119128837
118,2025-07-24,3619.98,3762.28,3515.89,3697.72,3697.72,186084653
119,2025-07-23,3732.65,3746.79,3534.16,3619.97,3619.97,136305415
120,2025-07-22,3751.33,3782.66,3618.22,3732.64,3732.64,192180783
121,2025-07-21,3752.27,3840.44,3709.66,3751.34,3751.34,120922790
122,2025-07-20,3581.34,3806.11,3577.49,3752.29,3752.29,134737341
123,2025-07-19,3538.48,3596.78,3509.1,3581.35,3581.35,69145789
124,2025-07-18,3470.63,3664.17,3464.94,3538.48,3538.48,205015189
125,2025-07-17,3364.07,3506.59,3318.64,3470.67,3470.67,180567880
126,2025-07-16,3132.52,3411.91,3101.8,3364.08,3364.08,118772139
127,2025-07-15,3011.85,3132.52,2939.51,3132.52,3132.52,39980268
128,2025-07-14,2970.43,3072.94,2966.68,3011.77,3011.77,34043162
129,2025-07-13,2938.31,3003.51,2936.21,2970.4,2970.4,28588013
130,2025-07-12,2956.97,2975.16,2906.47,2938.33,2938.33,25878824
131,2025-07-11,2952.7,3025.56,2790.03,2956.97,2956.97,109667400
132,2025-07-10,2770.98,2969.56,2758.48,2952.7,2952.7,45294191
133,2025-07-09,2614.62,2782.0,2596.24,2770.98,2770.98,39335426
134,2025-07-08,2541.83,2622.01,2525.57,2614.65,2614.65,28577997
135,2025-07-07,2571.32,2583.37,2514.67,2541.82,2541.82,8846352
136,2025-07-06,2515.63,2596.7,2505.86,2571.46,2571.46,7324299
137,2025-07-05,2507.14,2528.01,2489.17,2515.63,2515.63,2768047
138,2025-07-04,2589.61,2597.74,2478.63,2507.15,2507.15,15958393
139,2025-07-03,2581.26,2626.65,2562.67,2589.61,2589.61,14604054
140,2025-07-02,2404.55,2601.65,2390.65,2581.28,2581.28,41312545
141,2025-07-01,2485.68,2497.31,2396.86,2404.55,2404.55,8578435
142,2025-06-30,2504.07,2518.71,2440.81,2485.66,2485.66,12017270
143,2025-06-29,2435.59,2507.71,2426.52,2504.07,2504.07,52721125
144,2025-06-28,2420.67,2443.43,2409.33,2435.59,2435.59,8866578
145,2025-06-27,2426.72,2453.14,2393.52,2420.67,2420.67,8715705
146,2025-06-26,2417.14,2507.44,2409.3,2426.76,2426.76,11292920
147,2025-06-25,2445.1,2463.95,2402.49,2417.14,2417.14,13044781
148,2025-06-24,2415.7,2472.19,2382.87,2445.1,2445.1,15419161
149,2025-06-23,2227.05,2426.21,2196.87,2415.7,2415.7,100773140
150,2025-06-22,2284.38,2307.83,2128.92,2227.04,2227.04,152019155
151,2025-06-21,2405.78,2448.27,2238.24,2284.4,2284.4,148110642
152,2025-06-20,2531.07,2563.01,2378.18,2405.78,2405.78,154960927
153,2025-06-19,2531.93,2532.74,2497.36,2531.07,2531.07,145768039
154,2025-06-18,2510.62,2541.22,2470.48,2531.95,2531.95,159441618
155,2025-06-17,2548.14,2612.61,2461.24,2510.62,2510.62,166161189
156,2025-06-16,2547.05,2670.49,2517.68,2547.37,2547.37,16364236
157,2025-06-15,2528.37,2555.26,2498.66,2547.05,2547.05,9113365
158,2025-06-14,2577.37,2577.37,2492.82,2528.37,2528.37,9124734
159,2025-06-13,2650.5,2650.5,2457.15,2577.37,2577.37,24225617
160,2025-06-12,2775.01,2781.55,2628.46,2650.5,2650.5,14053891
161,2025-06-11,2807.7,2873.62,2754.62,2775.15,2775.15,17492959
162,2025-06-10,2678.81,2813.03,2660.38,2807.72,2807.72,35373002
163,2025-06-09,2508.98,2687.86,2476.98,2678.25,2678.25,11223969
164,2025-06-08,2521.39,2543.36,2493.74,2508.54,2508.54,6195951
165,2025-06-07,2477.7,2540.0,2462.89,2521.42,2521.42,6760069
166,2025-06-06,2418.3,2522.91,2401.65,2477.13,2477.13,10748901
167,2025-06-05,2608.7,2636.57,2400.68,2418.3,2418.3,20632653
168,2025-06-04,2590.11,2669.84,2584.25,2608.59,2608.59,14763736
169,2025-06-03,2608.05,2647.44,2589.1,2590.12,2590.12,18668370
170,2025-06-02,2533.23,2612.58,2477.43,2607.92,2607.92,16002876
171,2025-06-01,2528.21,2544.94,2475.24,2533.27,2533.27,17407154
172,2025-05-31,2526.25,2546.16,2488.07,2528.21,2528.21,16517093
173,2025-05-30,2628.46,2644.28,2514.49,2526.23,2526.23,30210329
174,2025-05-29,2675.84,2771.31,2626.49,2628.46,2628.46,31710104
175,2025-05-28,2662.55,2681.37,2613.31,2675.78,2675.78,15324565
176,2025-05-27,2558.32,2706.29,2517.0,2662.62,2662.62,20798024
177,2025-05-26,2549.35,2589.21,2528.99,2558.3,2558.3,9401709
178,2025-05-25,2527.86,2549.34,2471.17,2549.34,2549.34,11741602
179,2025-05-24,2517.9,2572.35,2516.27,2527.82,2527.82,7192140
180,2025-05-23,2657.72,2723.32,2509.8,2517.81,2517.81,33060068
181,2025-05-22,2551.15,2688.62,2551.11,2657.7,2657.7,23783424
182,2025-05-21,2518.09,2604.6,2461.67,2551.17,2551.17,38198234
183,2025-05-20,2526.51,2576.77,2450.13,2518.09,2518.09,12915841
184,2025-05-19,2489.66,2528.45,2356.4,2526.51,2526.51,41644440
185,2025-05-18,2472.54,2577.7,2357.3,2489.89,2489.89,19931621
186,2025-05-17,2542.1,2544.09,2451.76,2472.54,2472.54,12082961
187,2025-05-16,2538.44,2637.91,2534.6,2542.06,2542.06,21436318
188,2025-05-15,2607.76,2637.78,2482.02,2538.44,2538.44,22800515
189,2025-05-14,2680.31,2708.38,2554.98,2607.8,2607.8,20372450
