,date,open,high,low,close,adj close,volume
0,2025-11-20,3275.16,3307.24,3258.66,3273.09,3273.09,20026812
1,2025-11-19,3382.21,3383.7,3109.02,3274.73,3274.73,22106921
2,2025-11-18,3273.73,3431.32,3196.49,3382.72,3382.72,28035122
3,2025-11-17,3348.62,3483.96,3202.07,3274.28,3274.28,21235816
4,2025-11-16,3429.49,3516.79,3256.97,3349.5,3349.5,28462607
5,2025-11-15,3359.86,3494.93,3359.86,3429.19,3429.19,11848102
6,2025-11-14,3497.8,3521.09,3321.89,3357.95,3357.95,23191875
7,2025-11-13,3691.62,3853.13,3415.87,3497.8,3497.8,9211502
8,2025-11-12,3696.21,3881.4,3648.93,3690.92,3690.92,3245987
9,2025-11-11,3861.93,3942.75,3684.57,3696.59,3696.59,11592242
10,2025-11-10,3876.4,3957.6,3795.48,3861.64,3861.64,3244463
11,2025-11-09,3677.48,3909.97,3633.47,3877.3,3877.3,8041528
12,2025-11-08,3714.02,3761.29,3631.78,3678.04,3678.04,6810771
13,2025-11-07,3581.67,3752.6,3455.21,3713.78,3713.78,6327667
14,2025-11-06,3703.7,3737.78,3510.78,3582.04,3582.04,25424156
15,2025-11-05,3560.91,3760.81,3429.91,3703.95,3703.95,9163562
16,2025-11-04,3894.93,3950.6,3314.46,3561.25,3561.25,42311232
17,2025-11-03,4227.99,4232.44,3852.3,3895.23,3895.23,29486516
18,2025-11-02,4189.13,4233.71,4151.8,4228.61,4228.61,26639306
19,2025-11-01,4156.99,4222.85,4140.33,4189.5,4189.5,12655474
20,2025-10-31,4111.17,4217.51,4102.46,4156.97,4156.97,30421613
21,2025-10-30,4215.42,4264.51,3978.47,4107.81,4107.81,52577583
22,2025-10-29,4301.24,4360.26,4159.63,4215.54,4215.54,25433696
23,2025-10-28,4450.04,4508.61,4254.01,4300.66,4300.66,24935468
24,2025-10-27,4487.77,4589.03,4426.84,4450.11,4450.11,21774145
25,2025-10-26,4268.0,4508.36,4237.78,4486.69,4486.69,13098846
26,2025-10-25,4249.42,4281.25,4227.99,4267.88,4267.88,16980922
27,2025-10-24,4163.89,4331.98,4155.82,4249.58,4249.58,32289319
28,2025-10-23,4108.69,4245.1,4100.26,4163.23,4163.23,17839065
29,2025-10-22,4185.63,4200.99,4016.66,4111.14,4111.14,25840354
30,2025-10-21,4297.04,4435.74,4148.88,4186.46,4186.46,17548234
31,2025-10-20,4298.97,4411.15,4221.38,4297.11,4297.11,9175644
32,2025-10-19,4196.05,4347.02,4156.92,4299.35,4299.35,12532065
33,2025-10-18,4134.12,4237.57,4122.48,4196.05,4196.05,41113090
34,2025-10-17,4203.22,4264.8,3968.98,4133.73,4133.73,40277236
35,2025-10-16,4297.75,4408.23,4131.98,4203.09,4203.09,36308459
36,2025-10-15,4440.94,4537.96,4241.91,4297.75,4297.75,24753244
37,2025-10-14,4565.43,4590.45,4192.25,4441.47,4441.47,79576770
38,2025-10-13,4470.22,4614.43,4368.44,4564.92,4564.92,26683472
39,2025-10-12,4019.27,4496.38,3965.27,4468.92,4468.92,105950609
40,2025-10-11,4006.12,4129.41,3914.01,4019.22,4019.22,336361772
41,2025-10-10,4712.36,4746.22,767.51,4006.74,4006.74,1006214802
42,2025-10-09,4884.66,4891.88,4610.55,4712.0,4712.0,14715012
43,2025-10-08,4801.03,4917.81,4764.36,4884.97,4884.97,48461840
44,2025-10-07,5051.37,5128.42,4791.57,4800.57,4800.57,14993719
45,2025-10-06,4870.95,5106.97,4845.67,5052.54,5052.54,18276863
46,2025-10-05,4841.45,4981.73,4820.89,4871.14,4871.14,10459197
47,2025-10-04,4868.09,4876.27,4791.9,4841.64,4841.64,7344732
48,2025-10-03,4840.98,4947.84,4781.02,4869.09,4869.09,9751629
49,2025-10-02,4691.61,4872.76,4677.08,4839.65,4839.65,6731611
50,2025-10-01,4472.76,4691.13,4448.38,4690.34,4690.34,9707566
51,2025-09-30,4548.07,4571.02,4415.42,4473.55,4473.55,3468433
52,2025-09-29,4466.36,4569.51,4408.81,4548.9,4548.9,9990151
53,2025-09-28,4333.95,4469.33,4280.73,4466.29,4466.29,17313794
54,2025-09-27,4350.61,4356.0,4287.03,4334.02,4334.02,7827315
55,2025-09-26,4174.01,4388.68,4172.52,4350.91,4350.91,12589074
56,2025-09-25,4481.44,4488.59,4126.76,4174.01,4174.01,19506779
57,2025-09-24,4491.73,4538.63,4412.13,4481.25,4481.25,8059789
58,2025-09-23,4532.41,4558.77,4444.66,4491.71,4491.71,12417249
59,2025-09-22,4800.25,4807.22,4412.8,4530.84,4530.84,17253050
60,2025-09-21,4833.95,4853.86,4794.15,4798.93,4798.93,6021829
61,2025-09-20,4820.67,4863.99,4807.24,4833.23,4833.23,4534262
62,2025-09-19,4948.44,4983.57,4790.91,4820.37,4820.37,9661702
63,2025-09-18,4952.78,5007.64,4911.92,4949.28,4949.28,17363210
64,2025-09-17,4854.53,4980.01,4776.71,4952.84,4952.84,14929236
65,2025-09-16,4881.4,4894.12,4774.37,4858.58,4858.58,11130229
66,2025-09-15,4967.93,5036.9,4819.25,4881.39,4881.39,3120162
67,2025-09-14,5035.43,5060.05,4938.22,4968.5,4968.5,7321939
68,2025-09-13,5085.06,5138.14,4972.13,5035.48,5035.48,24795703
69,2025-09-12,4808.18,5100.79,4800.02,5086.84,5086.84,34777440
70,2025-09-11,4688.68,4817.96,4677.2,4808.13,4808.13,7065979
71,2025-09-10,4643.57,4796.26,4619.27,4688.59,4688.59,4355550
72,2025-09-09,4638.37,4721.41,4608.96,4643.59,4643.59,5202058
73,2025-09-08,4639.36,4720.94,4609.44,4638.71,4638.71,6648770
