,date,open,high,low,close,adj close,volume
0,2025-11-20,3007.37,3040.97,3005.98,3026.23,3026.23,2163205376
1,2025-11-19,3120.07,3120.18,2878.86,3006.94,3006.94,2188207969
2,2025-11-18,3018.71,3157.46,2984.11,3119.8,3119.8,2315443261
3,2025-11-17,3090.16,3202.29,2981.57,3018.44,3018.44,2433025137
4,2025-11-16,3169.98,3227.83,3050.63,3090.26,3090.26,1999711620
5,2025-11-15,3123.71,3208.52,3123.71,3170.15,3170.15,1089150011
6,2025-11-14,3242.34,3242.34,3100.87,3124.44,3124.44,3039891522
7,2025-11-13,3412.22,3547.66,3174.66,3242.57,3242.57,2781218015
8,2025-11-12,3420.03,3569.07,3397.78,3411.99,3411.99,2105026327
9,2025-11-11,3568.55,3611.31,3419.83,3420.29,3420.29,2043079394
10,2025-11-10,3577.4,3634.56,3524.34,3568.29,3568.29,1751282250
11,2025-11-09,3403.9,3588.49,3373.74,3577.1,3577.1,1460448866
12,2025-11-08,3440.22,3460.62,3369.75,3404.01,3404.01,1314672569
13,2025-11-07,3306.96,3464.14,3221.71,3440.27,3440.27,2091872826
14,2025-11-06,3428.57,3442.69,3282.74,3306.5,3306.5,1636190063
15,2025-11-05,3283.46,3465.82,3206.1,3428.63,3428.63,1923651284
16,2025-11-04,3596.69,3642.09,3142.41,3283.34,3283.34,3391405321
17,2025-11-03,3883.48,3889.34,3583.82,3596.57,3596.57,2488930639
18,2025-11-02,3872.57,3900.31,3852.54,3883.13,3883.13,1138621634
19,2025-11-01,3853.61,3893.0,3843.74,3872.44,3872.44,969964300
20,2025-10-31,3787.55,3877.99,3787.55,3853.76,3853.76,1873329374
21,2025-10-30,3913.11,3938.82,3709.16,3786.49,3786.49,2432592970
22,2025-10-29,3985.79,4023.96,3912.3,3913.01,3913.01,2330104936
23,2025-10-28,4122.6,4146.65,3964.82,3985.96,3985.96,2239582774
24,2025-10-27,4162.03,4232.76,4119.09,4122.63,4122.63,2169513886
25,2025-10-26,3955.08,4163.28,3932.53,4162.16,4162.16,1625080536
26,2025-10-25,3935.03,3956.62,3926.24,3955.07,3955.07,1053798767
27,2025-10-24,3854.22,3977.63,3854.17,3934.94,3934.94,1821458658
28,2025-10-23,3787.11,3905.06,3787.11,3854.22,3854.22,1552365409
29,2025-10-22,3891.54,3891.54,3746.46,3787.03,3787.03,2215136964
30,2025-10-21,3983.44,4092.69,3860.16,3891.5,3891.5,2368610902
31,2025-10-20,3991.77,4072.7,3943.06,3983.45,3983.45,1707138366
32,2025-10-19,3889.19,4010.46,3868.38,3991.76,3991.76,1452551258
33,2025-10-18,3842.66,3894.15,3835.04,3889.19,3889.19,960724579
34,2025-10-17,3883.6,3927.66,3712.37,3842.65,3842.65,2028331566
35,2025-10-16,3981.04,4056.32,3855.67,3883.6,3883.6,2285568278
36,2025-10-15,4128.28,4163.9,3964.43,3980.61,3980.61,2363665892
37,2025-10-14,4255.84,4256.58,3945.32,4128.29,4128.29,3235723015
38,2025-10-13,4146.14,4270.82,4106.91,4255.9,4255.9,2699991065
39,2025-10-12,3750.1,4147.5,3726.0,4146.0,4146.0,2699472851
40,2025-10-11,3870.83,3874.93,3704.09,3750.14,3750.14,2449017956
41,2025-10-10,4367.97,4382.96,3466.2,3871.57,3871.57,4265875784
42,2025-10-09,4528.01,4528.09,4304.78,4367.96,4367.96,2039292686
43,2025-10-08,4475.64,4529.98,4443.87,4528.04,4528.04,2028999133
44,2025-10-07,4694.85,4724.9,4475.79,4475.79,4475.79,2312724384
45,2025-10-06,4514.11,4713.08,4506.83,4694.9,4694.9,2147521659
46,2025-10-05,4487.93,4591.28,4482.45,4514.09,4514.09,1978512907
47,2025-10-04,4522.8,4522.8,4459.9,4487.93,4487.93,1282878176
48,2025-10-03,4477.46,4535.2,4460.61,4522.84,4522.84,2085641794
49,2025-10-02,4331.65,4499.77,4331.65,4477.44,4477.44,2032426519
