,Date,Open,High,Low,Close,Adj Close,Volume
0,2025-11-20,673.96,681.45,660.35,675.77,675.77,2107275136
1,2025-11-18,613.14,651.08,549.46,624.36,624.36,2258530338
2,2025-11-17,698.44,724.38,606.51,613.25,613.25,2349029302
3,2025-11-16,671.95,735.77,653.8,698.43,698.43,3888414820
4,2025-11-15,603.52,723.73,600.32,671.9,671.9,3141795643
5,2025-11-14,521.02,609.98,484.91,603.52,603.52,2022635060
6,2025-11-13,507.01,532.66,471.39,521.02,521.02,1613572862
7,2025-11-12,443.16,543.44,426.83,507.01,507.01,2125460653
8,2025-11-11,519.4,575.86,443.03,443.12,443.12,2515472260
9,2025-11-10,614.36,680.66,517.96,519.37,519.37,4376500866
10,2025-11-09,604.02,668.5,536.55,614.1,614.1,2194121335
11,2025-11-08,642.65,655.41,499.01,604.11,604.11,3893895621
12,2025-11-07,533.93,736.51,526.25,642.81,642.81,4286884278
13,2025-11-06,477.61,548.61,470.36,533.7,533.7,1538021876
14,2025-11-05,443.88,501.55,412.38,477.65,477.65,1469931312
15,2025-11-04,433.59,480.76,377.08,444.01,444.01,2462004942
16,2025-11-03,417.82,434.12,377.52,433.62,433.62,965645560
17,2025-11-02,411.81,429.31,369.76,417.76,417.76,941568231
18,2025-11-01,405.12,445.15,394.62,411.85,411.85,1178297427
19,2025-10-31,345.86,411.13,340.79,405.14,405.14,1322191710
20,2025-10-30,351.42,364.8,299.64,345.69,345.69,914581337
21,2025-10-29,315.88,361.92,311.68,351.45,351.45,652160980
22,2025-10-28,341.57,342.44,308.45,315.87,315.87,644337884
23,2025-10-27,326.64,371.59,326.18,341.61,341.61,994918197
24,2025-10-26,275.81,357.32,272.55,326.57,326.57,1255923496
25,2025-10-25,271.03,283.32,265.78,275.79,275.79,322180059
26,2025-10-24,242.94,272.12,242.01,271.05,271.05,515635890
27,2025-10-23,239.29,251.23,229.18,242.92,242.92,445314885
28,2025-10-22,262.81,280.67,227.79,239.29,239.29,684779249
29,2025-10-21,268.47,308.47,246.76,262.81,262.81,885519222
30,2025-10-20,236.16,283.04,230.8,268.17,268.17,619788950
31,2025-10-19,221.57,244.76,212.22,236.14,236.14,446021008
32,2025-10-18,217.77,226.77,210.98,221.57,221.57,284338540
33,2025-10-17,203.71,233.89,188.17,217.77,217.77,746576249
34,2025-10-16,229.93,244.97,203.39,203.65,203.65,668804349
35,2025-10-15,247.83,276.77,225.23,229.93,229.93,682676521
