,Symbol,Name
0,BTC-USD,Bitcoin USD
1,ETH-USD,Ethereum USD
2,USDT-USD,Tether USDt USD
3,XRP-USD,XRP USD
4,BNB-USD,BNB USD
5,SOL-USD,Solana USD
6,USDC-USD,USD Coin USD
7,TRX-USD,TRON USD
8,STETH-USD,Lido Staked ETH USD
9,WTRX-USD,Wrapped TRON USD
10,DOGE-USD,Dogecoin USD
11,ADA-USD,Cardano USD
12,HYPE32196-USD,Hyperliquid USD
13,WSTETH-USD,Lido wstETH USD
14,WBTC-USD,Wrapped Bitcoin USD
15,ZEC-USD,Zcash USD
16,WBETH-USD,Wrapped Beacon ETH USD
17,WETH-USD,WETH USD
18,BCH-USD,Bitcoin Cash USD
19,LINK-USD,Chainlink USD
20,USDS33039-USD,USDS USD
21,LEO-USD,UNUS SED LEO USD
22,AETHWETH-USD,Aave Ethereum WETH USD
23,XLM-USD,Stellar USD
24,WEETH-USD,Wrapped eETH USD
25,USDE29470-USD,Ethena USDe USD
26,LTC-USD,Litecoin USD
27,XMR-USD,Monero USD
28,CBBTC32994-USD,Coinbase Wrapped BTC USD
29,HBAR-USD,Hedera USD
30,AVAX-USD,Avalanche USD
31,SUI20947-USD,Sui USD
32,BTCB-USD,Bitcoin BEP2 USD
33,AETHUSDT-USD,Aave Ethereum USDT USD
34,DAI-USD,Dai USD
35,SHIB-USD,Shiba Inu USD
36,UNI7083-USD,Uniswap USD
37,DOT-USD,Polkadot USD
38,SUSDE-USD,Ethena Staked USDe USD
39,TON11419-USD,Toncoin USD
40,CRO-USD,Cronos USD
41,MNT27075-USD,Mantle USD
42,PYUSD-USD,PayPal USD USD
43,CC37263-USD,Canton USD
44,WLFI33251-USD,World Liberty Financial USD
45,TAO22974-USD,Bittensor USD
46,ASTER36341-USD,Aster USD
47,NEAR-USD,NEAR Protocol USD
48,USD136148-USD,World Liberty Financial USD USD
49,AAVE-USD,Aave USD
50,ICP-USD,Internet Computer USD
51,BGB-USD,Bitget Token USD
52,OKB-USD,OKB USD
53,BFUSD-USD,BFUSD USD
54,ETC-USD,Ethereum Classic USD
55,M35491-USD,MemeCore USD
56,APT21794-USD,Aptos USD
57,PI35697-USD,Pi USD
58,USDF35721-USD,Falcon USD USD
59,PEPE24478-USD,Pepe USD
60,ENA-USD,Ethena USD
61,JITOSOL-USD,Jito Staked SOL USD
62,JLP-USD,Jupiter Perps LP USD
63,ONDO-USD,Ondo USD
64,BTCT9486-USD,Bitcoin TRC20 USD
65,WLD-USD,Worldcoin USD
66,POL28321-USD,Polygon (prev. MATIC) USD
67,KCS-USD,KuCoin Token USD
68,SYRUPUSDC-USD,syrupUSDC USD
69,XAUT-USD,Tether Gold USD
70,WBNB-USD,Wrapped BNB USD
71,ATOM-USD,Cosmos USD
72,TRUMP35336-USD,OFFICIAL TRUMP USD
73,PAXG-USD,PAX Gold USD
74,FIL-USD,Filecoin USD
75,ALGO-USD,Algorand USD
76,USDTB34691-USD,Ethena Labs (USDtb) USD
77,RETH-USD,Rocket Pool ETH USD
78,ARB11841-USD,Arbitrum USD
79,BNSOL-USD,Binance Staked SOL USD
80,VET-USD,VeChain USD
81,STRK22691-USD,Starknet USD
82,USDG33793-USD,Global Dollar USD
83,SLISBNB-USD,Lista Staked BNB USD
84,KAS-USD,Kaspa USD
85,PUMP36507-USD,Pump.fun USD
86,SKY33038-USD,Sky USD
87,FBTC-USD,Function USD
88,LBTC33652-USD,Lombard Staked BTC USD
89,RSETH-USD,Kelp DAO Restaked ETH USD
90,RENDER-USD,Render USD
91,FLR-USD,Flare USD
92,WFLR-USD,Wrapped Flare USD
93,RLUSD-USD,Ripple USD USD
94,LSETH-USD,Liquid Staked ETH USD
95,DASH-USD,Dash USD
96,SLISBNBX-USD,slisBNBx USD
97,SOLVBTC-USD,SolvBTC USD
98,SEI-USD,Sei USD
99,FDUSD-USD,First Digital USD USD
