Symbol,Name,Price,Change,Change %,Market Cap,Volume,Volume In Currency (24hr),Total Volume All Currencies (24hr),Circulating Supply,52 Wk Change %
BTC-USD,Bitcoin USD,91807.99,514.93,+0.56%,1.832T,81.072B,81.072B,81.072B,19.951M,-5.64%
ETH-USD,Ethereum USD,3021.48,-32.2,-1.05%,364.68B,39.641B,39.641B,39.641B,120.696M,-7.08%
USDT-USD,Tether USDt USD,1.0,-0.0,-0.02%,183.73B,142.219B,142.219B,142.219B,183.895B,-0.15%
XRP-USD,XRP USD,2.13,-0.03,-1.19%,128.075B,6.154B,6.154B,6.154B,60.179B,+77.27%
BNB-USD,BNB USD,902.84,-24.17,-2.61%,124.354B,2.99B,2.99B,2.99B,137.737M,+49.72%
SOL-USD,Solana USD,142.89,3.48,+2.50%,79.216B,6.683B,6.683B,6.683B,554.393M,-45.26%
USDC-USD,USD Coin USD,1.0,0.0,+0.00%,74.429B,18.34B,18.34B,18.34B,74.441B,-0.01%
TRX-USD,TRON USD,0.29,-0.0,-0.04%,27.179B,782.361M,782.361M,782.361M,94.673B,+46.14%
STETH-USD,Lido Staked ETH USD,3024.93,-23.37,-0.77%,26.113B,27.231M,27.231M,27.231M,8.633M,-7.19%
WTRX-USD,Wrapped TRON USD,0.29,0.0,+0.33%,25.043B,1.368M,1.368M,1.368M,87.423B,+46.26%
DOGE-USD,Dogecoin USD,0.16,-0.0,-0.12%,23.874B,2.206B,2.206B,2.206B,151.849B,-58.28%
ADA-USD,Cardano USD,0.47,0.0,+0.43%,16.746B,983.908M,983.908M,983.908M,35.878B,-42.11%
HYPE32196-USD,Hyperliquid USD,39.14,0.54,+1.41%,13.178B,422.961M,422.961M,422.961M,336.685M,+536.39%
WSTETH-USD,Lido wstETH USD,3687.39,-28.28,-0.76%,12.465B,33.553M,33.553M,33.553M,3.38M,-4.60%
WBTC-USD,Wrapped Bitcoin USD,91686.06,624.42,+0.69%,11.656B,484.1M,484.1M,484.1M,127130,-5.58%
ZEC-USD,Zcash USD,674.23,80.58,+13.57%,11.003B,2.174B,2.174B,2.174B,16.32M,"+1,272.15%"
WBETH-USD,Wrapped Beacon ETH USD,3276.31,-25.56,-0.77%,10.695B,19.961M,19.961M,19.961M,3.264M,-4.59%
WETH-USD,WETH USD,3026.34,-19.86,-0.65%,10.215B,2.165B,2.165B,2.165B,3.375M,-7.32%
BCH-USD,Bitcoin Cash USD,500.27,2.46,+0.49%,9.983B,433.19M,433.19M,433.19M,19.956M,+7.61%
LINK-USD,Chainlink USD,13.78,0.41,+3.04%,9.603B,802.841M,802.841M,802.841M,696.85M,-7.47%
USDS33039-USD,USDS USD,1.0,-0.0,-0.01%,9.143B,8.665M,8.665M,8.665M,9.144B,-0.21%
LEO-USD,UNUS SED LEO USD,9.48,-0.1,-1.07%,8.744B,967230,967230,967230,922.138M,+10.42%
AETHWETH-USD,Aave Ethereum WETH USD,3026.83,-21.01,-0.69%,8.466B,837862,837862,837862,2.797M,+25.19%
XLM-USD,Stellar USD,0.25,0.0,+0.03%,8.064B,184.099M,184.099M,184.099M,32.205B,-2.73%
WEETH-USD,Wrapped eETH USD,3268.77,-21.41,-0.65%,7.777B,1.771M,1.771M,1.771M,2.379M,-4.91%
USDE29470-USD,Ethena USDe USD,1.0,-0.0,-0.02%,7.642B,230.577M,230.577M,230.577M,7.653B,-0.31%
LTC-USD,Litecoin USD,92.78,-1.45,-1.54%,7.102B,674.654M,674.654M,674.654M,76.54M,+6.83%
XMR-USD,Monero USD,366.39,1.74,+0.48%,6.759B,199.63M,199.63M,199.63M,18.447M,+151.27%
CBBTC32994-USD,Coinbase Wrapped BTC USD,91967.24,925.03,+1.02%,6.423B,571.892M,571.892M,571.892M,69839,-5.69%
HBAR-USD,Hedera USD,0.15,-0.0,-1.17%,6.231B,253.716M,253.716M,253.716M,42.476B,+18.85%
AVAX-USD,Avalanche USD,14.29,0.06,+0.42%,6.13B,475.521M,475.521M,475.521M,428.837M,-59.32%
SUI20947-USD,Sui USD,1.63,-0.02,-1.07%,5.995B,851.645M,851.645M,851.645M,3.681B,-54.10%
BTCB-USD,Bitcoin BEP2 USD,91847.38,661.66,+0.73%,5.99B,125.612M,125.612M,125.612M,65216,-5.70%
AETHUSDT-USD,Aave Ethereum USDT USD,1.0,-0.0,-0.04%,5.916B,66.609M,66.609M,66.609M,5.921B,+0.05%
DAI-USD,Dai USD,1.0,0.0,+0.02%,5.365B,156.936M,156.936M,156.936M,5.365B,+0.02%
SHIB-USD,Shiba Inu USD,0.0,-0.0,-0.47%,5.088B,166.413M,166.413M,166.413M,589.245T,-64.00%
UNI7083-USD,Uniswap USD,7.21,0.0,+0.06%,4.546B,525.401M,525.401M,525.401M,630.331M,-19.18%
DOT-USD,Polkadot USD,2.72,0.03,+1.17%,4.453B,215.515M,215.515M,215.515M,1.637B,-53.62%
SUSDE-USD,Ethena Staked USDe USD,1.2,-0.0,-0.01%,4.366B,5.6M,5.6M,5.6M,3.627B,+7.17%
TON11419-USD,Toncoin USD,1.72,-0.05,-3.07%,4.277B,129.04M,129.04M,129.04M,2.489B,-67.46%
CRO-USD,Cronos USD,0.11,-0.0,-0.64%,4.084B,40.166M,40.166M,40.166M,37.304B,-38.82%
MNT27075-USD,Mantle USD,1.1,-0.0,-0.05%,3.594B,95.709M,95.709M,95.709M,3.253B,+39.09%
PYUSD-USD,PayPal USD USD,1.0,-0.0,-0.01%,3.535B,144.871M,144.871M,144.871M,3.537B,+0.12%
CC37263-USD,Canton USD,0.1,-0.01,-9.87%,3.443B,47.358M,47.358M,47.358M,35.248B,-7.40%
WLFI33251-USD,World Liberty Financial USD,0.14,-0.0,-0.37%,3.427B,142.563M,142.563M,142.563M,24.6B,-39.83%
TAO22974-USD,Bittensor USD,326.53,3.41,+1.05%,3.376B,232.778M,232.778M,232.778M,10.339M,-36.15%
ASTER36341-USD,Aster USD,1.28,-0.07,-5.04%,3.034B,761.652M,761.652M,761.652M,2.373B,+255.66%
NEAR-USD,NEAR Protocol USD,2.35,0.12,+5.32%,3.014B,472.159M,472.159M,472.159M,1.28B,-60.69%
USD136148-USD,World Liberty Financial USD USD,1.0,-0.0,-0.02%,2.722B,381.488M,381.488M,381.488M,2.725B,+0.02%
AAVE-USD,Aave USD,177.22,3.49,+2.01%,2.706B,320.947M,320.947M,320.947M,15.271M,+5.22%
ICP-USD,Internet Computer USD,5.0,0.02,+0.37%,2.703B,346.791M,346.791M,346.791M,540.847M,-44.84%
BGB-USD,Bitget Token USD,3.64,0.01,+0.17%,2.543B,72.943M,72.943M,72.943M,697.829M,+157.55%
OKB-USD,OKB USD,110.46,-1.59,-1.42%,2.32B,53.168M,53.168M,53.168M,21M,+148.73%
BFUSD-USD,BFUSD USD,1.0,-0.0,-0.02%,2.209B,18.086M,18.086M,18.086M,2.211B,-0.01%
ETC-USD,Ethereum Classic USD,14.29,-0.11,-0.79%,2.206B,108.995M,108.995M,108.995M,154.397M,-46.54%
M35491-USD,MemeCore USD,2.12,-0.0,-0.15%,2.205B,19.018M,19.018M,19.018M,1.04B,"+3,720.82%"
APT21794-USD,Aptos USD,2.95,0.09,+3.10%,2.163B,132.313M,132.313M,132.313M,733.545M,-75.92%
PI35697-USD,Pi USD,0.25,0.03,+12.27%,2.116B,62.179M,62.179M,62.179M,8.314B,-72.34%
USDF35721-USD,Falcon USD USD,1.0,-0.0,-0.01%,2.081B,3.19M,3.19M,3.19M,2.084B,-0.14%
